date,time,bar,moves,edge,open,close,day
2018-06-22,19:14:00,513,22.5,0,1,0,1
2018-06-22,19:24:00,514,22,0,1,0,1
2018-06-22,19:34:00,515,21.5,0,1,0,1
2018-06-22,19:44:00,516,23,0,1,0,1
2018-06-22,19:54:00,517,23.5,0,1,0,1
2018-06-22,20:04:00,518,22.5,0,1,0,1
2018-06-22,20:14:00,519,21,0,1,0,1
2018-06-22,20:24:00,520,21,0,1,0,1
2018-06-22,20:34:00,521,22,0,1,0,1
2018-06-22,20:44:00,522,23,0,1,0,1
2018-06-22,20:54:00,523,26,0,1,0,1
2018-06-22,21:04:00,524,14,0,1,0,1
2018-06-22,21:14:00,525,0,-1,1,1,0
2018-06-22,21:24:00,526,0,0,1,1,0
2018-06-22,21:34:00,527,0,0,1,1,0
2018-06-22,21:44:00,528,0,0,1,1,0
2018-06-22,21:54:00,529,0,0,1,1,0
2018-06-22,22:04:00,530,0,0,1,1,0
2018-06-22,22:14:00,531,0,0,1,1,0
2018-06-22,22:24:00,532,0,0,1,1,0
2018-06-22,22:34:00,533,0,0,1,1,0
2018-06-22,22:44:00,534,0,0,1,1,0
2018-06-22,22:54:00,535,0,0,1,1,0
2018-06-22,23:04:00,536,0,0,1,1,0
2018-06-22,23:14:00,537,0,0,1,1,0
2018-06-22,23:24:00,538,0,0,1,1,0
2018-06-22,23:34:00,539,0,0,1,1,0
2018-06-22,23:44:00,540,0,0,1,1,0
2018-06-22,23:54:00,541,0,0,1,1,0
2018-06-23,00:04:00,542,0,0,1,1,0
2018-06-23,00:14:00,543,0,0,1,1,0
2018-06-23,00:24:00,544,0,0,1,1,0
2018-06-23,00:34:00,545,0,0,1,1,0
2018-06-23,00:44:00,546,0,0,1,1,0
2018-06-23,00:54:00,547,0,0,1,1,0
2018-06-23,01:04:00,548,0,0,1,1,0
2018-06-23,01:14:00,549,0,0,1,1,0
2018-06-23,01:24:00,550,0,0,1,1,0
2018-06-23,01:34:00,551,0,0,1,1,0
2018-06-23,01:44:00,552,0,0,1,1,0
2018-06-23,01:54:00,553,0,0,1,1,0
2018-06-23,02:04:00,554,0,0,1,1,0
2018-06-23,02:14:00,555,0,0,1,1,0
2018-06-23,02:24:00,556,0,0,1,1,0
2018-06-23,02:34:00,557,0,0,1,1,0
2018-06-23,02:44:00,558,0,0,1,1,0
2018-06-23,02:54:00,559,0,0,1,1,0
2018-06-23,03:04:00,560,0,0,1,1,0
2018-06-23,03:14:00,561,0,0,1,1,0
2018-06-23,03:24:00,562,0,0,1,1,0
2018-06-23,03:34:00,563,0,0,1,1,0
2018-06-23,03:44:00,564,0,0,1,1,0
2018-06-23,03:54:00,565,0,0,1,1,0
2018-06-23,04:04:00,566,0,0,1,1,0
2018-06-23,04:14:00,567,0,0,1,1,0
2018-06-23,04:24:00,568,0,0,1,1,0
2018-06-23,04:34:00,569,0,0,1,1,0
2018-06-23,04:44:00,570,0,0,1,1,0
2018-06-23,04:54:00,571,0,0,1,1,0
2018-06-23,05:04:00,572,0,0,1,1,0
2018-06-23,05:14:00,573,0,0,1,1,0
2018-06-23,05:24:00,574,0,0,1,1,0
2018-06-23,05:34:00,575,0,0,1,1,0
2018-06-23,05:44:00,576,0,0,1,1,0
2018-06-23,05:54:00,577,0,0,1,1,0
2018-06-23,06:04:00,578,0,0,1,1,0
2018-06-23,06:14:00,579,0,0,1,1,0
2018-06-23,06:24:00,580,0,0,1,1,0
2018-06-23,06:34:00,581,0,0,1,1,0
2018-06-23,06:44:00,582,0,0,1,1,0
2018-06-23,06:54:00,583,0,0,1,1,0
2018-06-23,07:04:00,584,0,0,1,1,0
2018-06-23,07:14:00,585,0,0,1,1,0
2018-06-23,07:24:00,586,0,0,1,1,0
2018-06-23,07:34:00,587,0,0,1,1,0
2018-06-23,07:44:00,588,0,0,1,1,0
2018-06-23,07:54:00,589,0,0,1,1,0
2018-06-23,08:04:00,590,0,0,1,1,0
2018-06-23,08:14:00,591,0,0,1,1,0
2018-06-23,08:24:00,592,0,0,1,1,0
2018-06-23,08:34:00,593,0,0,1,1,0
2018-06-23,08:44:00,594,0,0,1,1,0
2018-06-23,08:54:00,595,0,0,1,1,0
2018-06-23,09:04:00,596,0,0,1,1,0
2018-06-23,09:14:00,597,0,0,1,1,0
2018-06-23,09:24:00,598,0,0,1,1,0
2018-06-23,09:34:00,599,0,0,1,1,0
2018-06-23,09:44:00,600,0,0,1,1,0
2018-06-23,09:54:00,601,0,0,1,1,0
2018-06-23,10:04:00,602,0,0,1,1,0
2018-06-23,10:14:00,603,0,0,1,1,0
2018-06-23,10:24:00,604,0,0,1,1,0
2018-06-23,10:34:00,605,0,0,1,1,0
2018-06-23,10:44:00,606,0,0,1,1,0
2018-06-23,10:54:00,607,0,0,1,1,0
2018-06-23,11:04:00,608,0,0,1,1,0
2018-06-23,11:14:00,609,0,0,1,1,0
2018-06-23,11:24:00,610,0,0,1,1,0
2018-06-23,11:34:00,611,0,0,1,1,0
2018-06-23,11:44:00,612,0,0,1,1,0
2018-06-23,11:54:00,613,0,0,1,1,0
2018-06-23,12:04:00,614,0,0,1,1,0
2018-06-23,12:14:00,615,0,0,1,1,0
2018-06-23,12:24:00,616,0,0,1,1,0
2018-06-23,12:34:00,617,0,0,1,1,0
2018-06-23,12:44:00,618,0,0,1,1,0
2018-06-23,12:54:00,619,0,0,1,1,0
2018-06-23,13:04:00,620,0,0,1,1,0
2018-06-23,13:14:00,621,0,0,1,1,0
2018-06-23,13:24:00,622,0,0,1,1,0
2018-06-23,13:34:00,623,0,0,1,1,0
2018-06-23,13:44:00,624,0,0,1,1,0
2018-06-23,13:54:00,625,0,0,1,1,0
2018-06-23,14:04:00,626,0,0,1,1,0
2018-06-23,14:14:00,627,0,0,1,1,0
2018-06-23,14:24:00,628,0,0,1,1,0
2018-06-23,14:34:00,629,0,0,1,1,0
2018-06-23,14:44:00,630,0,0,1,1,0
2018-06-23,14:54:00,631,0,0,1,1,0
2018-06-23,15:04:00,632,0,0,1,1,0
2018-06-23,15:14:00,633,0,0,1,1,0
2018-06-23,15:24:00,634,0,0,1,1,0
2018-06-23,15:34:00,635,0,0,1,1,0
2018-06-23,15:44:00,636,0,0,1,1,0
2018-06-23,15:54:00,637,0,0,1,1,0
2018-06-23,16:04:00,638,0,0,1,1,0
2018-06-23,16:14:00,639,0,0,1,1,0
2018-06-23,16:24:00,640,0,0,1,1,0
2018-06-23,16:34:00,641,0,0,1,1,0
2018-06-23,16:44:00,642,0,0,1,1,0
2018-06-23,16:54:00,643,0,0,1,1,0
2018-06-23,17:04:00,644,0,0,1,1,0
2018-06-23,17:14:00,645,0,0,1,1,0
2018-06-23,17:24:00,646,0,0,1,1,0
2018-06-23,17:34:00,647,0,0,1,1,0
2018-06-23,17:44:00,648,0,0,1,1,0
2018-06-23,17:54:00,649,0,0,1,1,0
2018-06-23,18:04:00,650,0,0,1,1,0
2018-06-23,18:14:00,651,0,0,1,1,0
2018-06-23,18:24:00,652,0,0,1,1,0
2018-06-23,18:34:00,653,0,0,1,1,0
2018-06-23,18:44:00,654,0,0,1,1,0
2018-06-23,18:54:00,655,0,0,1,1,0
2018-06-23,19:04:00,656,0,0,1,1,0
2018-06-23,19:14:00,657,0,0,1,1,0
2018-06-23,19:24:00,658,0,0,1,1,0
2018-06-23,19:34:00,659,0,0,1,1,0
2018-06-23,19:44:00,660,0,0,1,1,0
2018-06-23,19:54:00,661,0,0,1,1,0
2018-06-23,20:04:00,662,0,0,1,1,0
2018-06-23,20:14:00,663,0,0,1,1,0
2018-06-23,20:24:00,664,0,0,1,1,0
2018-06-23,20:34:00,665,0,0,1,1,0
2018-06-23,20:44:00,666,0,0,1,1,0
2018-06-23,20:54:00,667,0,0,1,1,0
2018-06-23,21:04:00,668,0,0,1,1,0
2018-06-23,21:14:00,669,0,0,1,1,0
2018-06-23,21:24:00,670,0,0,1,1,0
2018-06-23,21:34:00,671,0,0,1,1,0
2018-06-23,21:44:00,672,0,0,1,1,0
2018-06-23,21:54:00,673,0,0,1,1,0
2018-06-23,22:04:00,674,0,0,1,1,0
2018-06-23,22:14:00,675,0,0,1,1,0
2018-06-23,22:24:00,676,0,0,1,1,0
2018-06-23,22:34:00,677,0,0,1,1,0
2018-06-23,22:44:00,678,0,0,1,1,0
2018-06-23,22:54:00,679,0,0,1,1,0
2018-06-23,23:04:00,680,0,0,1,1,0
2018-06-23,23:14:00,681,0,0,1,1,0
2018-06-23,23:24:00,682,0,0,1,1,0
2018-06-23,23:34:00,683,0,0,1,1,0
2018-06-23,23:44:00,684,0,0,1,1,0
2018-06-23,23:54:00,685,0,0,1,1,0
2018-06-24,00:04:00,686,0,0,1,1,0
2018-06-24,00:14:00,687,0,0,1,1,0
2018-06-24,00:24:00,688,0,0,1,1,0
2018-06-24,00:34:00,689,0,0,1,1,0
2018-06-24,00:44:00,690,0,0,1,1,0
2018-06-24,00:54:00,691,0,0,1,1,0
2018-06-24,01:04:00,692,0,0,1,1,0
2018-06-24,01:14:00,693,0,0,1,1,0
2018-06-24,01:24:00,694,0,0,1,1,0
2018-06-24,01:34:00,695,0,0,1,1,0
2018-06-24,01:44:00,696,0,0,1,1,0
2018-06-24,01:54:00,697,0,0,1,1,0
2018-06-24,02:04:00,698,0,0,1,1,0
2018-06-24,02:14:00,699,0,0,1,1,0
2018-06-24,02:24:00,700,0,0,1,1,0
2018-06-24,02:34:00,701,0,0,1,1,0
2018-06-24,02:44:00,702,0,0,1,1,0
2018-06-24,02:54:00,703,0,0,1,1,0
2018-06-24,03:04:00,704,0,0,1,1,0
2018-06-24,03:14:00,705,0,0,1,1,0
2018-06-24,03:24:00,706,0,0,1,1,0
2018-06-24,03:34:00,707,0,0,1,1,0
2018-06-24,03:44:00,708,0,0,1,1,0
2018-06-24,03:54:00,709,0,0,1,1,0
2018-06-24,04:04:00,710,0,0,1,1,0
2018-06-24,04:14:00,711,0,0,1,1,0
2018-06-24,04:24:00,712,0,0,1,1,0
2018-06-24,04:34:00,713,0,0,1,1,0
2018-06-24,04:44:00,714,0,0,1,1,0
2018-06-24,04:54:00,715,0,0,1,1,0
2018-06-24,05:04:00,716,0,0,1,1,0
2018-06-24,05:14:00,717,0,0,1,1,0
2018-06-24,05:24:00,718,0,0,1,1,0
2018-06-24,05:34:00,719,0,0,1,1,0
